card_id,url_canonical,question,answer,learned,created_at_utc
f69bd64d3c3bdff7,https://www.anthropic.com/claude-code?gad_campaignid=22795617257&gad_source=1&gbraid=0AAAAA99jmqtS6N4o1tcqBXZUwkMLgCuVz,What is Claude Code designed for?,"Claude Code is designed for coding tasks, enhancing development by tackling projects from command-line to commit.",False,2025-09-13T19:29:00.745162Z
d65508e235352da7,https://www.anthropic.com/claude-code?gad_campaignid=22795617257&gad_source=1&gbraid=0AAAAA99jmqtS6N4o1tcqBXZUwkMLgCuVz,How does Claude Code integrate with IDEs?,"Claude Code works directly in VS Code and JetBrains, understanding codebases and making contextual suggestions.",False,2025-09-13T19:29:00.745162Z
2a52d02fd39b09b1,https://www.anthropic.com/claude-code?gad_campaignid=22795617257&gad_source=1&gbraid=0AAAAA99jmqtS6N4o1tcqBXZUwkMLgCuVz,What functionality does Claude Code provide for code onboarding?,"Claude Code maps and explains entire codebases quickly, using agentic search to understand project structure automatically.",False,2025-09-13T19:29:00.745162Z
2a07318125c9774b,https://www.anthropic.com/claude-code?gad_campaignid=22795617257&gad_source=1&gbraid=0AAAAA99jmqtS6N4o1tcqBXZUwkMLgCuVz,How does Claude Code enhance workflow with version control tools?,"It integrates with GitHub, GitLab, and command line tools to manage issues, code, tests, and PRs seamlessly from the terminal.",False,2025-09-13T19:29:00.745162Z
9d93a919597b72b9,https://www.anthropic.com/claude-code?gad_campaignid=22795617257&gad_source=1&gbraid=0AAAAA99jmqtS6N4o1tcqBXZUwkMLgCuVz,What are the pricing plans for Claude Code?,"Pro: $17/mo annually, $20 monthly; Team: $150 per person; Education: discounts for students, faculty, and institutions.",False,2025-09-13T19:29:00.745162Z
35b2d6144d43769e,https://langchain-ai.github.io/langgraph/concepts/memory,What is the role of memory in AI agents?,"Memory allows AI agents to remember interactions, learn from feedback, and adapt to user preferences, enhancing efficiency and satisfaction.",False,2025-09-13T20:02:12.807174Z
4b7b5adf6782e093,https://langchain-ai.github.io/langgraph/concepts/memory,What are the two types of memory in AI systems?,"Short-term memory, which tracks ongoing conversations, and long-term memory, which stores data across sessions.",False,2025-09-13T20:02:12.807174Z
467faff6a3681bbf,https://langchain-ai.github.io/langgraph/concepts/memory,How does short-term memory function in AI agents?,"Short-term memory keeps track of conversation history within a session, managed as part of the agent's state with checkpoints.",False,2025-09-13T20:02:12.807174Z
816a6cacf2a6a07b,https://langchain-ai.github.io/langgraph/concepts/memory,What is the difference between semantic and episodic memory?,"Semantic memory stores facts and concepts, while episodic memory recalls past events or experiences.",False,2025-09-13T20:02:12.807174Z
f085224edd37f335,https://langchain-ai.github.io/langgraph/concepts/memory,What challenges arise with long-term memory in AI?,Long-term memory management involves complexities in updating records and ensuring contextual relevance across sessions.,False,2025-09-13T20:02:12.807174Z
9627871a30d41b14,https://docs.replit.com/tutorials/vibe-coding-101,What is the core philosophy behind vibe coding?,"Vibe coding emphasizes guiding AI tools with your vision and domain knowledge through an iterative process of prompting, reviewing, and refining.",False,2025-09-13T20:07:15.494016Z
935301dea7e9231b,https://docs.replit.com/tutorials/vibe-coding-101,What technologies are used for the San Francisco parks map project?,The project employs Leaflet.js for map visualization and fetches data from OpenStreetMap.,False,2025-09-13T20:07:15.494016Z
311e09be568417ab,https://docs.replit.com/tutorials/vibe-coding-101,What is the role of Replit Agent in project development?,"Replit Agent scaffolds projects, sets up environments, generates initial code, and creates Git commits for easy rollback.",False,2025-09-13T20:07:15.494016Z
d605fe68467173d5,https://docs.replit.com/tutorials/vibe-coding-101,How does iterative debugging work with Replit Assistant?,"Replit Assistant allows for targeted edits and refinements after the MVP is built, helping fix issues quickly.",False,2025-09-13T20:07:15.494016Z
c123adc5efe21315,https://docs.replit.com/tutorials/vibe-coding-101,What does the publishing process in Replit entail?,"To publish, users select the Publish button, confirm configurations suggested by the Agent, and manage sensitive info via Secrets.",False,2025-09-13T20:07:15.494016Z
f988497cd3d10517,https://medium.com/@yaelg/product-manager-pm-step-by-step-tutorial-building-machine-learning-products-ffa7817aa8ab,Why should product managers learn about machine learning?,Product managers need to understand machine learning to stay competitive and leverage existing tools for product development.,False,2025-09-13T20:12:01.055205Z
139904cdd71439d9,https://medium.com/@yaelg/product-manager-pm-step-by-step-tutorial-building-machine-learning-products-ffa7817aa8ab,What tools and platforms make machine learning accessible?,Open source tools like Amazon AI and TensorFlow enable companies to integrate machine learning without building from scratch.,False,2025-09-13T20:12:01.055205Z
15b64d7caf590cf5,https://medium.com/@yaelg/product-manager-pm-step-by-step-tutorial-building-machine-learning-products-ffa7817aa8ab,What is a key focus for product managers in machine learning?,"Product managers should focus on asking the right questions, understanding model development, and fostering cross-discipline collaboration.",False,2025-09-13T20:12:01.055205Z
a76521fe46b4dfd2,https://medium.com/@yaelg/product-manager-pm-step-by-step-tutorial-building-machine-learning-products-ffa7817aa8ab,How should data science be treated in organizations?,Data science should not be a 'black box'; organizations should encourage collaboration and clear understanding of model insights.,False,2025-09-13T20:12:01.055205Z
762bd551bc98a238,https://medium.com/@yaelg/product-manager-pm-step-by-step-tutorial-building-machine-learning-products-ffa7817aa8ab,What is the aim of the step-by-step PM guide for machine learning?,The guide aims to provide essential knowledge and processes for product managers to effectively develop machine learning products.,False,2025-09-13T20:12:01.055205Z
de301d92f3108acf,https://www.productteacher.com/articles/breaking-into-ai-product-management,What is a key requirement for transitioning into AI product management?,"It requires targeted skill-building, strategic networking, and gaining relevant AI experience.",False,2025-09-13T20:31:10.468474Z
9293fb1e310efa8a,https://www.productteacher.com/articles/breaking-into-ai-product-management,How are AI products fundamentally different from traditional products?,"AI products are data-centric and rely heavily on data quality, affecting model performance and user experience.",False,2025-09-13T20:31:10.468474Z
22f0e2bff2ff1997,https://www.productteacher.com/articles/breaking-into-ai-product-management,What is essential for managing AI model development cycles?,Continuous retraining and evaluating are crucial due to the evolving nature of AI models and data input.,False,2025-09-13T20:31:10.468474Z
56bc9e81188bba4c,https://www.productteacher.com/articles/breaking-into-ai-product-management,What is a critical aspect of collaboration as an AI PM?,"AI PMs must work closely with data scientists and ML engineers, understanding their language and technical needs.",False,2025-09-13T20:31:10.468474Z
6c128288445c137e,https://www.productteacher.com/articles/breaking-into-ai-product-management,What ethical considerations should an AI PM focus on?,"Ensuring fairness, accountability, and transparency in AI models, addressing bias in training data.",False,2025-09-13T20:31:10.468474Z
428bce6dc0ead52f,https://medium.com/@allanouko17/customer-churn-prediction-using-machine-learning-ddf4cd7c9fd4,What is customer churn prediction?,"It predicts the likelihood of customers canceling a company’s products or services, crucial for retaining clients.",False,2025-09-13T20:39:51.802956Z
dc7997fed7ee3cbc,https://medium.com/@allanouko17/customer-churn-prediction-using-machine-learning-ddf4cd7c9fd4,Why is predicting customer churn important?,"It helps organizations retain existing customers, as acquiring new ones is generally more expensive.",False,2025-09-13T20:39:51.802956Z
75d799db4bb08dd5,https://medium.com/@allanouko17/customer-churn-prediction-using-machine-learning-ddf4cd7c9fd4,What type of model is used for customer churn prediction?,"A classification model is preferred, as the target class for churn is discrete (Yes/No).",False,2025-09-13T20:39:51.802956Z
97aaa3dfda7272c7,https://medium.com/@allanouko17/customer-churn-prediction-using-machine-learning-ddf4cd7c9fd4,What technique is used to handle imbalanced churn data?,The Synthetic Minority Over-sampling Technique (SMOTE) is used to generate synthetic samples to balance the dataset.,False,2025-09-13T20:39:51.802956Z
b569a0a0ff8639c9,https://medium.com/@allanouko17/customer-churn-prediction-using-machine-learning-ddf4cd7c9fd4,Which model performed best in customer churn prediction?,"The XGBoost classifier was the top performer, based on high test accuracy and F1 score.",False,2025-09-13T20:39:51.802956Z
